Region 1 Lon,Region 2 Lon, Region 3 Lon,Region 4 Lon,Region 5 Lon,Region 1 Lat,Region 2 Lat,Region 3 Lat,Region 4 Lat,Region 5 Lat
-69.973,-68.314,-69.123,-68.563,-69.04,43.154,43.134,44.176,43.788,39.843
-69.973,-67.464,-68.936,-66.779,-69.019,42.296,44.38,43.42,44.421,41.785
-69.226,-66.696,-70.284,-67.049,-66.613,41.56,43.44,42.745,45.3,42.623
-68.438,-67.153,-71.362,-68.936,-65.017,42.398,42.97,42.745,44.544,41.233
